round,loss,accuracy,precision,recall,f1,communication_cost_mb,num_rounds
1,0.2935982006601989,0.867,0.6024,0.985,0.7476,,
2,0.1915622764499858,0.935,0.7606,0.985,0.8584,,
3,0.18745452619623393,0.943,0.7918,0.97,0.8719,,
4,0.1877864245325327,0.946,0.8042,0.965,0.8773,,
5,0.18943360797129571,0.949,0.8143,0.965,0.8833,,
6,0.18887506183818914,0.951,0.8213,0.965,0.8874,,
7,0.19159931564354338,0.949,0.8197,0.955,0.8822,,
8,0.19272670499049127,0.951,0.824,0.96,0.8868,,
9,0.19428090855944902,0.952,0.8304,0.955,0.8884,,
10,0.19805467771948315,0.951,0.8297,0.95,0.8858,,
11,0.1990466098068282,0.952,0.8333,0.95,0.8879,,
12,0.199223200121196,0.952,0.8333,0.95,0.8879,,
13,0.20281585605698638,0.952,0.8333,0.95,0.8879,,
14,0.21138876260374673,0.951,0.8356,0.94,0.8847,,
15,0.2125298556056805,0.953,0.84,0.945,0.8894,,
16,0.2168745277740527,0.952,0.8393,0.94,0.8868,,
17,0.22309449256863445,0.953,0.843,0.94,0.8889,,
18,0.22819856397109106,0.953,0.843,0.94,0.8889,,
19,0.22603164851898327,0.953,0.843,0.94,0.8889,,
20,0.23158360944944434,0.953,0.843,0.94,0.8889,,
21,0.23826179494790267,0.954,0.8468,0.94,0.891,,
22,0.23829913020017557,0.954,0.8468,0.94,0.891,,
23,0.24534967573708855,0.954,0.8468,0.94,0.891,,
24,0.24501891649561003,0.954,0.8468,0.94,0.891,,
25,0.2529843486554455,0.955,0.8507,0.94,0.8931,,
26,0.25790767604485154,0.955,0.8507,0.94,0.8931,,
27,0.2643036131776171,0.955,0.8507,0.94,0.8931,,
28,0.27269011703901924,0.955,0.8507,0.94,0.8931,,
29,0.27591346224653535,0.957,0.8552,0.945,0.8979,,
30,0.2800534080815851,0.956,0.8514,0.945,0.8957,4.1484,30.0
